fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.5563,0.00996,0.01083,0.9489,0.00045,3.10392,0.79618,6.74229,0.5,1.30028,0.01371,0.76327,0.34975,0.0,0.09856,0.51053,0.0,0.0,0.0,0.53791,0.90382,0.0,0.0
0.55458,0.01122,0.0068,0.95657,0.0005,2.77034,0.70989,6.52765,0.29401,1.72408,0.01448,0.67064,0.48475,0.0,0.09048,0.48841,0.0,0.0,0.0,0.54076,0.79049,0.0,0.0
0.53234,0.01053,0.01032,0.91841,0.00052,2.99525,0.79408,7.03111,0.52182,1.49566,0.015,0.67299,0.41082,0.0,0.09473,0.51628,0.0,0.0,0.0,0.51362,0.945,0.0,0.0
0.55414,0.00835,0.00893,0.97285,0.00058,3.12845,0.94472,7.31548,0.54324,1.49686,0.015,0.87231,0.36346,0.0,0.09204,0.53891,0.0,0.0,0.0,0.39218,0.94488,0.0,0.0
0.57344,0.01018,0.01116,0.98,0.00043,3.19175,0.89385,6.23368,0.4426,1.62185,0.015,0.77065,0.44841,0.0,0.08389,0.45802,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.56123,0.00988,0.0106,0.94516,0.0005,2.94734,0.74409,6.99812,0.47771,1.46808,0.01334,0.7,0.37456,0.0,0.09941,0.53912,0.0,0.0,0.0,0.5,0.93489,0.0,0.0
0.57168,0.01016,0.01002,0.91951,0.0005,2.68554,0.75356,5.46467,0.5,1.54566,0.0172,0.7,0.4078,0.0,0.10167,0.5,0.0,0.0,0.0,0.50435,0.97268,0.0,0.0
0.57085,0.01126,0.01002,0.937,0.0005,3.51995,0.61505,6.19555,0.4434,1.49686,0.01619,0.7,0.49332,0.0,0.08302,0.59621,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.54076,0.01099,0.00716,0.95515,0.0005,2.7689,0.81162,6.27337,0.27523,1.36631,0.0144,0.65485,0.44991,0.0,0.09048,0.52266,0.0,0.0,0.0,0.70041,1.0,0.0,0.0
0.54164,0.0095,0.0088,0.937,0.0005,2.96114,0.83368,7.9383,0.46695,1.41944,0.01398,0.73259,0.40637,0.0,0.09941,0.43224,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.58215,0.01,0.01,0.9347,0.00053,3.3385,0.70672,6.5236,0.49559,1.51455,0.0161,0.891,0.33704,0.0,0.07354,0.55875,0.0,0.0,0.0,0.49489,1.0,0.0,0.0
0.43856,0.01108,0.00681,0.94096,0.00052,2.64939,0.74429,5.77862,0.32124,1.29038,0.01431,0.75567,0.47667,0.0,0.08383,0.52354,0.0,0.0,0.0,0.70665,1.0,0.0,0.0
0.49619,0.0093,0.0078,0.98,0.00051,2.99525,0.74457,7.48662,0.64682,1.2919,0.01467,0.81673,0.40956,0.0,0.09454,0.50833,0.0,0.0,0.0,0.50135,0.90622,0.0,0.0
0.52437,0.00988,0.01014,0.94942,0.00054,2.12892,0.8,8.98884,0.54201,1.77523,0.01698,0.75139,0.4,0.0,0.09188,0.55843,0.0,0.0,0.0,0.5,0.96293,0.0,0.0
0.56585,0.00988,0.01002,0.93702,0.0005,2.99525,0.8,7.48621,0.50024,1.49686,0.015,0.7,0.40042,0.0,0.09943,0.50036,0.0,0.0,0.0,0.5,0.99952,0.0,0.0
0.54105,0.00994,0.00929,0.94618,0.0005,3.09168,0.88481,7.4883,0.52118,1.49686,0.01542,0.69252,0.39751,0.0,0.09824,0.5309,0.0,0.0,0.0,0.52368,1.0,0.0,0.0
0.56311,0.01021,0.01002,0.91958,0.0005,2.70086,0.67899,6.68275,0.51975,1.57698,0.01541,0.71186,0.31388,0.0,0.09802,0.43735,0.0,0.0,0.0,0.48883,1.0,0.0,0.0
0.55492,0.01234,0.01157,0.94855,0.0005,2.80061,0.7688,7.48662,0.52641,1.23084,0.015,0.64211,0.4,0.0,0.09941,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.53236,0.00988,0.00971,0.937,0.00039,2.82475,0.71048,6.53894,0.34211,1.52854,0.015,0.63257,0.43464,0.0,0.09561,0.47409,0.0,0.0,0.0,0.49686,0.99918,0.0,0.0
0.53797,0.00894,0.00918,0.93269,0.00051,2.84071,0.8,7.7019,0.49427,1.43302,0.01514,0.74405,0.42172,0.0,0.1,0.4646,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.54093,0.00927,0.01119,0.96142,0.00053,3.38421,0.74861,5.81682,0.46838,1.49576,0.0161,0.9,0.32433,0.0,0.07105,0.55233,0.0,0.0,0.0,0.49489,1.0,0.0,0.0
0.54615,0.00988,0.00956,0.937,0.00065,2.99525,0.92183,6.25073,0.5,1.30969,0.015,0.7,0.34635,0.0,0.09833,0.49814,0.0,0.0,0.0,0.38393,0.99918,0.0,0.0
